id,incidentId,message,source,ci,service
0,1,Cellular Interface is Up,UIM,wnpvisscmfeap1,service7
1,1,The alert Response Time Variance Intensity has breached the CRITICAL threshold of 5,Datadog,lc-irv-2936.lvn.broadcom.net,service7
2,1,java-AdminServer: Process /AdminServer/ is not running,Spectrum,banlcs587.ibn.broadcom.net,service16
3,1,disk usage c exceeds,Solarwinds,amb-wan-sr1.nw-ap.broadcom.net_Gi0/0/0,service16
4,1,sssd: Process /usr/sbin/sssd/ is not running,NetOps,sju-voice-vg02.nw-am.broadcom.net,service2
5,2,The alert Frontend Errors has breached the MAJOR threshold of 1,APM,lc-sj1-4304.lvn.broadcom.net,service2
6,2,The alert Frontend Errors has breached the MAJOR threshold of 1,Solarwinds,pales202,service15
7,2,Profile NP01SOA3- instance NP01SOA3- tablespace DSOA14_CUSTOM has 0.55% (567.30 MB) free space available (autoext.:YES- chunks:39.00),APM,wpdvwsd06,service3
8,2,CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database,UIM,wnpvisstsjp01,service4
9,2,Robot mnmjmp6405 is inactive,Dynatrace,lc-lvn-0636.lvn.broadcom.net,service7
10,3,Profile SQL102- instance admsqlc9n2\SQL102- AGRIS:  master: user 356 (NT AUTHORITY\SYSTEM) runs query for 614929.22 sec- sql text: sp_server_diagnostics,Datadog,lgh-wan-sr1.nw-ap.broadcom.net_Gi0/0/0,service9
11,3,Percentage of Maximum Capacity Currently Used going to reach 85.0 pct,Spectrum,lc-sj1-5561.lvn.broadcom.net,service15
12,3,The alert Total Restart has breached the MAJOR threshold of 10,Dynatrace,lc-lvn-0452.lvn.broadcom.net,service12
13,3,Profile NP01SOA3- instance NP01SOA3- tablespace DSOA14_CUSTOM has 0.55% (567.30 MB) free space available (autoext.:YES- chunks:39.00),NetOps,banlcs243.ibn.broadcom.net,service16
14,3,robot inactive,APMDatadog,apdvqualys08.ash.broadcom.net,service14
15,4,The alert CPU Throttling has breached the MAJOR threshold of 3000000000,APMDatadog,wpdpfdsc01,service7
16,4,robot inactive,Dynatrace,ren-dctor-p4r02c03sw02,service11
17,4,DNS lookup of 'www.google.com' failed (type 'a') on nameserver 'sha-dns-1.broadcom.net' for profile 'sha-dns-1.broadcom.net',APM,apdveapi02.broadcom.com,service10
18,4,The alert GCPHeap1 has breached the MAJOR threshold of 8,Spectrum,sgn-dmzs-intagg-ar16sw02.nw-ap.broadcom.net,service9
19,4,High Transmit Percent Utilization on Interface Vlan268 · L3 for ReplicationNetwork-1-1_vl.110_10.22.168.0/24 for node N7706-2-DC2_Spine-2,APMDatadog,ren-dctor-p4r02c02sw02,service16
20,4,DNS lookup of 'www.google.com' failed (type 'a') on nameserver 'sha-dns-1.broadcom.net' for profile 'sha-dns-1.broadcom.net',Dynatrace,cvc-wan-sr1.nw-am.broadcom.net_Gi0/0/0,service7
21,4,Profile MAZNASQLTSTC1N2- instance MAZNASQLTSTC1N2- buffer cache hit-ratio (87.17%) is too low,Spectrum,SC5TFAPPSW0102_ge-1/0/22,service15
22,4,disk usage c exceeds,Solarwinds,wnpvisscmfejb2,service1
23,4,Connection to 'clmnacvma01' (ping) failed  (profile: clmnacvma01),Solarwinds,sdg-cas-mdfas02.nw-am.broadcom.net,service7
24,4,The alert Frontend Errors has breached the MAJOR threshold of 1,Dynatrace,lnpvd3dspdev01.sgn.broadcom.net,service8
25,4,Interface is down,Datadog,lnpvbstms03,service13
26,4,java-AdminServer: Process /AdminServer/ is not running,APMDatadog,lnpvbhftps01.broadcom.com,service10
27,4,The alert ClusterManager - Zookeeper Client QueryForInstances ART Alert has breached the CRITICAL threshold of 1000,Solarwinds,lc-lvn-1498.lvn.broadcom.net,service4
28,4,Data Center Outage Alert,Datadog,lc-sj1-4251.lvn.broadcom.net,service12
29,4,SWITCH FIBRE CHANNEL PORT SCAN,APMDatadog,lc-sj1-6148.lvn.broadcom.net,service4
30,4,Server returned HTTP response code 401 for URL http://abc.com,Dynatrace,tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0,service11
31,4,Interface is down,Spectrum,acc-dcobmgmt-p5e9sw02.nw-am.broadcom.net,service13
32,4,sssd: Process /usr/sbin/sssd/ is not running,NetOps,sha-wan-sr1.nw-ap.broadcom.net_Gi0/1/0,service14
33,4,Profile SQL102- instance admsqlc9n2\SQL102- AGRIS:  master: user 356 (NT AUTHORITY\SYSTEM) runs query for 614929.22 sec- sql text: sp_server_diagnostics,Dynatrace,lc-sj1-4225.lvn.broadcom.net,service5
34,4,DEVICE IRV2-4-AP03 HAS STOPPED RESPONDING TO POLLS,APM,lc-lvn-1612.lvn.broadcom.net,service11
35,4,Node is down,NetOps,wpdvnfh04,service11
36,4,The alert CPU Throttling has breached the CRITICAL threshold of 10000000000,APMDatadog,SC5TFBOSW2.arcot.ca.com_Gi1/0/32,service12
37,4,High packet loss,UIM,ren-dctor-p4r02c02sw02,service7
38,4,High Receive Percent Utilization on Interface GigabitEthernet0/0/1 · *** LAN *** for node 4LU-Antwerpen-RTR01,NetOps,lnpvbsnws01.ash.broadcom.net,service9
39,4,CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database,NetOps,lc-sj1-5902.lvn.broadcom.net,service8
40,4,High Transmit Percent Utilization,NetOps,wnpvbctgc04,service10
41,4,Server returned HTTP response code 401 for URL http://abc.com,APMDatadog,sjs-ll2-lab103-d25-csg-sw10,service6
42,4,CHASSIS fdt-snc.net DOWN,Spectrum,lc-lvn-1307.lvn.broadcom.net,service4
43,4,Profile SQL102- instance admsqlc9n2\SQL102- AGRIS:  master: user 356 (NT AUTHORITY\SYSTEM) runs query for 614929.22 sec- sql text: sp_server_diagnostics,APMDatadog,ren-wan-sr1.nw-am.broadcom.net_Te0/1/6,service16
44,4,Profile MSSQLSERVER- instance ldcna1cht1- buffer cache hit-ratio (88.80%) is too low,APMDatadog,wnpvisscmbedb3,service14
45,4,DEVICE abc-xyz.net HAS STOPPED RESPONDING TO POLLS,APM,wpdvepiap01,service5
46,4,The alert GCPHeap1 has breached the MAJOR threshold of 8,Datadog,SC5TFBOFW02-5200_mgmt,service3
47,4,Profile NP01SOA3- instance NP01SOA3- tablespace DSOA14_CUSTOM has 0.55% (567.30 MB) free space available (autoext.:YES- chunks:39.00),NetOps,lnpv3dswymqa01.sgn.broadcom.net,service8
48,4,java-AdminServer: Process /AdminServer/ is not running,Datadog,wpdvisscmbeap9,service15
