from,to,source,target
145,0,lc-sj1-3830.lvn.broadcom.net,AlarmTemplates{id=0, message='DEVICE DETECTED A COMMUNICATION LINK DOWN ON AN INTERFACE', host='lc-sj1-3830.lvn.broadcom.net', source='Dynatrace', service='service15', incidentId=1}
56,1,lc-lvn-1130.lvn.broadcom.net,AlarmTemplates{id=1, message='Node is down', host='lc-lvn-1130.lvn.broadcom.net', source='NetOps', service='service5', incidentId=1}
93,2,vpar-lvn-dcsg-06.lvn.broadcom.net,AlarmTemplates{id=2, message='Temperature for CPU1 Temp on lc-ibn-1051.ibn.broadcom.net is 103.0 (> 100.0)', host='vpar-lvn-dcsg-06.lvn.broadcom.net', source='Datadog', service='service7', incidentId=1}
168,3,lc-irv-4034.lvn.broadcom.net,AlarmTemplates{id=3, message='Interface is down', host='lc-irv-4034.lvn.broadcom.net', source='Dynatrace', service='service11', incidentId=1}
53,4,lc-sj1-6217.lvn.broadcom.net,AlarmTemplates{id=4, message='Robot mnmjmp6405 is inactive', host='lc-sj1-6217.lvn.broadcom.net', source='Datadog', service='service10', incidentId=1}
86,5,wpdvwsd16,AlarmTemplates{id=5, message='QOS_CPU_MULTI_USAGE on CPU-2 for User-2 is at 52.53 %.', host='wpdvwsd16', source='APMDatadog', service='service5', incidentId=2}
131,6,ren-dctor-p4r02c03sw02,AlarmTemplates{id=6, message='High response time', host='ren-dctor-p4r02c03sw02', source='UIM', service='service1', incidentId=2}
21,7,LPDVNETL01,AlarmTemplates{id=7, message='disk usage c exceeds', host='LPDVNETL01', source='APM', service='service11', incidentId=2}
118,8,png-wan-sr1.nw-ap.broadcom.net_Gi0/0/3,AlarmTemplates{id=8, message='robot inactive', host='png-wan-sr1.nw-ap.broadcom.net_Gi0/0/3', source='APMDatadog', service='service16', incidentId=2}
40,9,lc-lvn-1503.lvn.broadcom.net,AlarmTemplates{id=9, message='The alert ConnectionStatus has exceeded CRITICAL target of threshold 1', host='lc-lvn-1503.lvn.broadcom.net', source='Solarwinds', service='service3', incidentId=2}
65,10,frk-dctor-p1b2sw01,AlarmTemplates{id=10, message='SWITCH FIBRE CHANNEL PORT SCAN', host='frk-dctor-p1b2sw01', source='NetOps', service='service2', incidentId=3}
66,11,lc-sj1-4832.lvn.broadcom.net,AlarmTemplates{id=11, message='Cellular Interface is Up', host='lc-sj1-4832.lvn.broadcom.net', source='Spectrum', service='service7', incidentId=3}
15,12,wpdvcdc01,AlarmTemplates{id=12, message='ntpd_monitoring: Process ntpd not started- max starts 3 reached', host='wpdvcdc01', source='UIM', service='service10', incidentId=3}
157,13,wpdvorclupk01,AlarmTemplates{id=13, message='Profile NP01SOA3- instance NP01SOA3- tablespace DSOA14_CUSTOM has 0.55% (567.30 MB) free space available (autoext.:YES- chunks:39.00)', host='wpdvorclupk01', source='APM', service='service3', incidentId=3}
102,14,ash-wan-eavbr1.nw-am.broadcom.net_Tu18149,AlarmTemplates{id=14, message='temperature cpu1 temp', host='ash-wan-eavbr1.nw-am.broadcom.net_Tu18149', source='Datadog', service='service16', incidentId=3}
103,15,wnpvdpoc01.yis.broadcom.net,AlarmTemplates{id=15, message='Broadcast alarm was triggered.', host='wnpvdpoc01.yis.broadcom.net', source='Datadog', service='service16', incidentId=4}
155,16,wnpvepistdb02,AlarmTemplates{id=16, message='Hardware component is in warning or critical state', host='wnpvepistdb02', source='UIM', service='service6', incidentId=4}
35,17,wsgpvmegc08,AlarmTemplates{id=17, message='Server returned HTTP response code 401 for URL http://abc.com', host='wsgpvmegc08', source='Dynatrace', service='service4', incidentId=4}
69,18,lc-sj1-6661.lvn.broadcom.net,AlarmTemplates{id=18, message='The alert Log Collector Consumer Group Lag Alert has breached the CRITICAL threshold of 200000', host='lc-sj1-6661.lvn.broadcom.net', source='Datadog', service='service9', incidentId=4}
134,19,lc-sj1-4865.lvn.broadcom.net,AlarmTemplates{id=19, message='The alert Memory Utilization has breached the CRITICAL threshold of 90', host='lc-sj1-4865.lvn.broadcom.net', source='NetOps', service='service12', incidentId=4}
138,20,wpdvsdi01,AlarmTemplates{id=20, message='High Transmit Percent Utilization on Interface Vlan268 · L3 for ReplicationNetwork-1-1_vl.110_10.22.168.0/24 for node N7706-2-DC2_Spine-2', host='wpdvsdi01', source='Solarwinds', service='service10', incidentId=4}
122,21,SC5TFAPPSW0102_ge-1/0/21,AlarmTemplates{id=21, message='Temperature for CPU1 Temp on lc-ibn-1051.ibn.broadcom.net is 103.0 (> 100.0)', host='SC5TFAPPSW0102_ge-1/0/21', source='Solarwinds', service='service12', incidentId=4}
2,22,ren-wan-bdr2.nw-am.broadcom.net,AlarmTemplates{id=22, message='16	root	localhost	limda_data	Query	12	Waiting for global read lock	UPDATE limda_data.calculations SET next_calc='20211113160500'- last_calc='20211113160400'- redo_start='0'- redo_stop='0' WHERE calc_id=1	0.000', host='ren-wan-bdr2.nw-am.broadcom.net', source='NetOps', service='service11', incidentId=4}
57,23,wnpvisstsjp01,AlarmTemplates{id=23, message='percentage java heap used', host='wnpvisstsjp01', source='Datadog', service='service11', incidentId=4}
74,24,sju-ll2-lab133-aggr2-e6-gray-sw35,AlarmTemplates{id=24, message='MANAGEMENT AGENT LOST', host='sju-ll2-lab133-aggr2-e6-gray-sw35', source='APMDatadog', service='service15', incidentId=4}
158,25,cam-wan-sr1.nw-em.broadcom.net_Gi0/0/3,AlarmTemplates{id=25, message='Robot mnmjmp6405 is inactive', host='cam-wan-sr1.nw-em.broadcom.net_Gi0/0/3', source='Dynatrace', service='service15', incidentId=4}
124,26,tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0,AlarmTemplates{id=26, message='High Receive Percent Utilization on Interface GigabitEthernet0/0/1 · *** LAN *** for node 4LU-Antwerpen-RTR01', host='tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0', source='Solarwinds', service='service1', incidentId=4}
59,27,lc-lvn-1086.lvn.broadcom.net,AlarmTemplates{id=27, message='The alert ClusterManager - Zookeeper Client QueryForInstances ART Alert has breached the CRITICAL threshold of 1000', host='lc-lvn-1086.lvn.broadcom.net', source='UIM', service='service6', incidentId=4}
46,28,lnpvwsestn01.broadcom.com,AlarmTemplates{id=28, message='The alert Deployment Availablity has breached the MAJOR threshold of 0', host='lnpvwsestn01.broadcom.com', source='Solarwinds', service='service2', incidentId=4}
0,29,lnpvsubscw02.broadcom.com,AlarmTemplates{id=29, message='The alert Log Collector Consumer Group Lag Alert has breached the CRITICAL threshold of 200000', host='lnpvsubscw02.broadcom.com', source='NetOps', service='service12', incidentId=4}
115,30,lhostbpl01,AlarmTemplates{id=30, message='DEVICE DETECTED A COMMUNICATION LINK DOWN ON AN INTERFACE', host='lhostbpl01', source='APM', service='service6', incidentId=4}
105,31,wnpvchef03,AlarmTemplates{id=31, message='CPU Average Total Usage on Total for User is at 1.14 %.', host='wnpvchef03', source='Spectrum', service='service1', incidentId=4}
142,32,washvmegc03,AlarmTemplates{id=32, message='Temperature for CPU1 Temp on lc-ibn-1051.ibn.broadcom.net is 103.0 (> 100.0)', host='washvmegc03', source='NetOps', service='service14', incidentId=4}
87,33,lc-hyd-033.ibn.broadcom.net,AlarmTemplates{id=33, message='The alert Response Time Variance Intensity has breached the MAJOR threshold of 25', host='lc-hyd-033.ibn.broadcom.net', source='Datadog', service='service4', incidentId=4}
16,34,lnpvnerp08.sgn.broadcom.net,AlarmTemplates{id=34, message='The alert Response Time Variance Intensity has breached the MAJOR threshold of 25', host='lnpvnerp08.sgn.broadcom.net', source='APM', service='service13', incidentId=4}
11,35,LPDVMFT13,AlarmTemplates{id=35, message='violation event raised ethernet1/30 profile name paysec interface discards deviation discards rule name discards', host='LPDVMFT13', source='NetOps', service='service4', incidentId=4}
108,36,sdj-wan-sr1.nw-ap.broadcom.net_Gi0/0/0,AlarmTemplates{id=36, message='DEVICE abc-xyz.net HAS STOPPED RESPONDING TO POLLS', host='sdj-wan-sr1.nw-ap.broadcom.net_Gi0/0/0', source='Spectrum', service='service11', incidentId=4}
7,37,sgs-wan-sr1.nw-ap.broadcom.net_Gi0/0/0,AlarmTemplates{id=37, message='CDM is running on bpel-vip.ash.broadcom.net- possibly duplicated data series in the QoS database', host='sgs-wan-sr1.nw-ap.broadcom.net_Gi0/0/0', source='APMDatadog', service='service7', incidentId=4}
120,38,sdg-ll2-3f-a3059-stb-sw9.nw-am.broadcom.net,AlarmTemplates{id=38, message='Server returned HTTP response code 401 for URL http://abc.com', host='sdg-ll2-3f-a3059-stb-sw9.nw-am.broadcom.net', source='Dynatrace', service='service16', incidentId=4}
176,39,lc-sj1-5670.lvn.broadcom.net,AlarmTemplates{id=39, message='High Transmit Percent Utilization', host='lc-sj1-5670.lvn.broadcom.net', source='Spectrum', service='service7', incidentId=4}
50,40,SC5TFFOSW1_Ethernet1/30,AlarmTemplates{id=40, message='The alert Memory Utilization has breached the CRITICAL threshold of 90', host='SC5TFFOSW1_Ethernet1/30', source='Spectrum', service='service15', incidentId=4}
