id,intervalPeriod,startTime,endTime,date
0,13:25-13:30,13:25,13:30,12-4-2021
1,22:00-22:05,22:00,22:05,12-4-2021
2,21:35-21:40,21:35,21:40,12-4-2021
3,04:20-04:25,04:20,04:25,12-4-2021
4,19:55-20:00,19:55,20:00,12-4-2021
5,18:25-18:30,18:25,18:30,12-4-2021
6,11:40-11:45,11:40,11:45,12-4-2021
7,17:30-17:35,17:30,17:35,12-4-2021
8,06:05-06:10,06:05,06:10,12-4-2021
9,00:15-00:20,00:15,00:20,12-4-2021
10,12:35-12:40,12:35,12:40,12-4-2021
11,20:45-20:50,20:45,20:50,12-4-2021
12,05:10-05:15,05:10,05:15,12-4-2021
13,05:55-06:00,05:55,06:00,12-4-2021
14,09:20-09:25,09:20,09:25,12-4-2021
15,21:55-22:00,21:55,22:00,12-4-2021
16,13:00-13:05,13:00,13:05,12-4-2021
17,04:25-04:30,04:25,04:30,12-4-2021
18,14:15-14:20,14:15,14:20,12-4-2021
19,10:50-10:55,10:50,10:55,12-4-2021
20,21:10-21:15,21:10,21:15,12-4-2021
21,18:20-18:25,18:20,18:25,12-4-2021
22,22:25-22:30,22:25,22:30,12-4-2021
23,10:05-10:10,10:05,10:10,12-4-2021
24,03:50-03:55,03:50,03:55,12-4-2021
25,14:55-15:00,14:55,15:00,12-4-2021
26,01:05-01:10,01:05,01:10,12-4-2021
27,17:35-17:40,17:35,17:40,12-4-2021
28,20:20-20:25,20:20,20:25,12-4-2021
29,06:00-06:05,06:00,06:05,12-4-2021
30,08:50-08:55,08:50,08:55,12-4-2021
31,04:00-04:05,04:00,04:05,12-4-2021
32,05:15-05:20,05:15,05:20,12-4-2021
33,09:25-09:30,09:25,09:30,12-4-2021
34,12:55-13:00,12:55,13:00,12-4-2021
35,12:10-12:15,12:10,12:15,12-4-2021
36,13:05-13:10,13:05,13:10,12-4-2021
37,04:40-04:45,04:40,04:45,12-4-2021
38,03:10-03:15,03:10,03:15,12-4-2021
39,18:05-18:10,18:05,18:10,12-4-2021
40,10:00-10:05,10:00,10:05,12-4-2021
41,14:10-14:15,14:10,14:15,12-4-2021
42,12:15-12:20,12:15,12:20,12-4-2021
43,23:15-23:20,23:15,23:20,12-4-2021
44,17:10-17:15,17:10,17:15,12-4-2021
45,00:35-00:40,00:35,00:40,12-4-2021
46,06:25-06:30,06:25,06:30,12-4-2021
47,17:55-18:00,17:55,18:00,12-4-2021
48,23:40-23:45,23:40,23:45,12-4-2021
49,16:45-16:50,16:45,16:50,12-4-2021
50,05:30-05:35,05:30,05:35,12-4-2021
51,09:40-09:45,09:40,09:45,12-4-2021
52,02:15-02:20,02:15,02:20,12-4-2021
53,13:20-13:25,13:20,13:25,12-4-2021
54,15:50-15:55,15:50,15:55,12-4-2021
55,02:20-02:25,02:20,02:25,12-4-2021
56,04:45-04:50,04:45,04:50,12-4-2021
57,22:50-22:55,22:50,22:55,12-4-2021
58,18:00-18:05,18:00,18:05,12-4-2021
59,22:45-22:50,22:45,22:50,12-4-2021
60,11:45-11:50,11:45,11:50,12-4-2021
61,17:15-17:20,17:15,17:20,12-4-2021
62,06:20-06:25,06:20,06:25,12-4-2021
63,12:30-12:35,12:30,12:35,12-4-2021
64,20:00-20:05,20:00,20:05,12-4-2021
65,16:40-16:45,16:40,16:45,12-4-2021
66,01:30-01:35,01:30,01:35,12-4-2021
67,09:45-09:50,09:45,09:50,12-4-2021
68,05:35-05:40,05:35,05:40,12-4-2021
69,01:25-01:30,01:25,01:30,12-4-2021
70,16:15-16:20,16:15,16:20,12-4-2021
71,02:25-02:30,02:25,02:30,12-4-2021
72,15:20-15:25,15:20,15:25,12-4-2021
73,03:05-03:10,03:05,03:10,12-4-2021
74,19:30-19:35,19:30,19:35,12-4-2021
75,15:35-15:40,15:35,15:40,12-4-2021
76,18:50-18:55,18:50,18:55,12-4-2021
77,22:40-22:45,22:40,22:45,12-4-2021
78,14:40-14:45,14:40,14:45,12-4-2021
79,23:20-23:25,23:20,23:25,12-4-2021
80,00:40-00:45,00:40,00:45,12-4-2021
