from,to,mi
0,1,.30069
0,2,.33249
0,3,.34361
0,4,.28067
0,5,.13850
0,6,.13389
0,7,.15754
0,8,.14790
0,9,.13619
0,10,.13619
0,11,.13850
0,12,.14083
0,13,.14317
0,14,.14553
0,15,.00054
0,16,.00296
0,17,.00508
0,18,.00001
0,19,.00374
0,20,.00219
0,21,.00313
0,22,.00015
0,23,.00052
0,24,.00952
0,25,.00052
0,26,.00312
0,27,.01031
0,28,.00832
0,29,.01104
0,30,.00005
0,31,.00064
0,32,.00717
0,33,.00020
0,34,.00015
0,35,.01104
0,36,.00374
0,37,.00489
0,38,.00330
0,39,.00207
0,40,.00026
0,41,.00005
0,42,.00055
0,43,.01417
0,44,.00374
0,45,.00001
0,46,.00095
0,47,.00052
0,48,.00063
0,49,.00146
0,50,.00001
0,51,.00397
0,52,.01219
0,53,.00055
0,54,.00134
0,55,.00501
0,56,.00730
0,57,.00039
0,58,.00063
0,59,.00054
0,60,.00800
0,61,.00064
0,62,.00116
0,63,.00212
0,64,.00952
0,65,.00063
0,66,.00395
0,67,.00004
0,68,.01104
0,69,.00015
0,70,.00005
0,71,.00124
0,72,.00234
0,73,.00445
0,74,.00234
0,75,.02033
0,76,.00210
0,77,.00128
0,78,.00026
0,79,.01259
0,80,.00330
0,81,.00128
0,82,.00296
0,83,.00207
0,84,.00309
0,85,.00001
0,86,.00015
0,87,.00851
0,88,.00212
0,89,.00001
0,90,.00164
0,91,.00951
0,92,.00104
0,93,.00017
0,94,.00054
0,95,.00052
0,96,.00951
0,97,.00128
0,98,.01219
0,99,.00800
0,100,.00000
0,101,.00055
0,102,.01500
0,103,.00313
0,104,.00296
0,105,.00026
0,106,.00124
0,107,.00737
0,108,.00052
0,109,.00054
0,110,.00004
0,111,.00296
0,112,.00501
0,113,.00609
0,114,.00207
0,115,.00005
0,116,.00296
0,117,.00015
0,118,.01104
0,119,.00055
0,120,.00052
0,121,.00296
0,122,.00001
0,123,.00207
0,124,.00039
0,125,.00124
0,126,.00052
0,127,.00800
0,128,.00207
0,129,.00737
0,130,.00164
0,131,.00008
0,132,.00052
0,133,.00370
0,134,.00001
0,135,.00015
0,136,.00000
0,137,.00800
0,138,.00064
0,139,.00977
0,140,.00134
0,141,.00312
0,142,.00652
0,143,.00000
0,144,.00207
0,145,.00164
0,146,.00296
0,147,.00210
0,148,.00862
0,149,.00296
0,150,.00313
0,151,.00023
0,152,.00234
0,153,.00005
0,154,.00423
0,155,.00309
0,156,.00026
0,157,.00064
0,158,.00395
0,159,.00164
0,160,.00717
0,161,.00210
0,162,.00164
0,163,.00039
0,164,.00104
0,165,.00015
0,166,.00104
0,167,.00374
0,168,.00001
0,169,.00124
0,170,.00001
0,171,.00219
0,172,.00309
0,173,.00017
0,174,.00064
0,175,.00006
0,176,.00011
0,177,.00020
0,178,.00004
0,179,.00023
0,180,.00001
0,181,.00832
0,182,.00055
0,183,.00313
0,184,.00063
0,185,.00124
0,186,.00005
0,187,.00952
0,188,.00234
0,189,.00210
0,190,.00164
0,191,.01745
0,192,.00210
