from,to,source,target
7,145,service15,lc-sj1-3830.lvn.broadcom.net
8,56,service5,lc-lvn-1130.lvn.broadcom.net
11,93,service7,vpar-lvn-dcsg-06.lvn.broadcom.net
13,168,service11,lc-irv-4034.lvn.broadcom.net
12,53,service10,lc-sj1-6217.lvn.broadcom.net
8,86,service5,wpdvwsd16
1,131,service1,ren-dctor-p4r02c03sw02
13,21,service11,LPDVNETL01
9,118,service16,png-wan-sr1.nw-ap.broadcom.net_Gi0/0/3
3,40,service3,lc-lvn-1503.lvn.broadcom.net
0,65,service2,frk-dctor-p1b2sw01
11,66,service7,lc-sj1-4832.lvn.broadcom.net
12,15,service10,wpdvcdc01
3,157,service3,wpdvorclupk01
9,102,service16,ash-wan-eavbr1.nw-am.broadcom.net_Tu18149
9,103,service16,wnpvdpoc01.yis.broadcom.net
5,155,service6,wnpvepistdb02
2,35,service4,wsgpvmegc08
4,69,service9,lc-sj1-6661.lvn.broadcom.net
14,134,service12,lc-sj1-4865.lvn.broadcom.net
12,138,service10,wpdvsdi01
14,122,service12,SC5TFAPPSW0102_ge-1/0/21
13,2,service11,ren-wan-bdr2.nw-am.broadcom.net
13,57,service11,wnpvisstsjp01
7,74,service15,sju-ll2-lab133-aggr2-e6-gray-sw35
7,158,service15,cam-wan-sr1.nw-em.broadcom.net_Gi0/0/3
1,124,service1,tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0
5,59,service6,lc-lvn-1086.lvn.broadcom.net
0,46,service2,lnpvwsestn01.broadcom.com
14,0,service12,lnpvsubscw02.broadcom.com
5,115,service6,lhostbpl01
1,105,service1,wnpvchef03
6,142,service14,washvmegc03
2,87,service4,lc-hyd-033.ibn.broadcom.net
15,16,service13,lnpvnerp08.sgn.broadcom.net
2,11,service4,LPDVMFT13
13,108,service11,sdj-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
11,7,service7,sgs-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
9,120,service16,sdg-ll2-3f-a3059-stb-sw9.nw-am.broadcom.net
11,176,service7,lc-sj1-5670.lvn.broadcom.net
7,50,service15,SC5TFFOSW1_Ethernet1/30
0,126,service2,vmsjc-ops025_rh58.lvn.broadcom.net
0,177,service2,wpdpfdsc01
1,75,service1,wpvirvops004
0,28,service2,lnpvinrdb01.png.broadcom.net
6,133,service14,_10
7,151,service15,sju-ll2-lab133-bvt-c2-sw16
