from,to,source,target
2,170,UIM,wnpvisscmfeap1
5,167,Datadog,lc-irv-2936.lvn.broadcom.net
7,162,Spectrum,banlcs587.ibn.broadcom.net
1,77,Solarwinds,amb-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
3,135,NetOps,sju-voice-vg02.nw-am.broadcom.net
6,175,APM,lc-sj1-4304.lvn.broadcom.net
1,128,Solarwinds,pales202
6,63,APM,wpdvwsd06
2,136,UIM,wnpvisstsjp01
4,131,Dynatrace,lc-lvn-0636.lvn.broadcom.net
5,61,Datadog,lgh-wan-sr1.nw-ap.broadcom.net_Gi0/0/0
7,26,Spectrum,lc-sj1-5561.lvn.broadcom.net
4,129,Dynatrace,lc-lvn-0452.lvn.broadcom.net
3,180,NetOps,banlcs243.ibn.broadcom.net
0,64,APMDatadog,apdvqualys08.ash.broadcom.net
0,195,APMDatadog,wpdpfdsc01
4,82,Dynatrace,ren-dctor-p4r02c03sw02
6,0,APM,apdveapi02.broadcom.com
7,75,Spectrum,sgn-dmzs-intagg-ar16sw02.nw-ap.broadcom.net
0,21,APMDatadog,ren-dctor-p4r02c02sw02
4,174,Dynatrace,cvc-wan-sr1.nw-am.broadcom.net_Gi0/0/0
7,74,Spectrum,SC5TFAPPSW0102_ge-1/0/22
1,156,Solarwinds,wnpvisscmfejb2
1,169,Solarwinds,sdg-cas-mdfas02.nw-am.broadcom.net
4,12,Dynatrace,lnpvd3dspdev01.sgn.broadcom.net
5,37,Datadog,lnpvbstms03
0,187,APMDatadog,lnpvbhftps01.broadcom.com
1,39,Solarwinds,lc-lvn-1498.lvn.broadcom.net
5,83,Datadog,lc-sj1-4251.lvn.broadcom.net
0,163,APMDatadog,lc-sj1-6148.lvn.broadcom.net
4,172,Dynatrace,tok-wan-symlab01.nw-ap.broadcom.net_Gi0/0/0
7,25,Spectrum,acc-dcobmgmt-p5e9sw02.nw-am.broadcom.net
3,60,NetOps,sha-wan-sr1.nw-ap.broadcom.net_Gi0/1/0
4,78,Dynatrace,lc-sj1-4225.lvn.broadcom.net
6,192,APM,lc-lvn-1612.lvn.broadcom.net
3,76,NetOps,wpdvnfh04
0,87,APMDatadog,SC5TFBOSW2.arcot.ca.com_Gi1/0/32
2,21,UIM,ren-dctor-p4r02c02sw02
3,127,NetOps,lnpvbsnws01.ash.broadcom.net
3,48,NetOps,lc-sj1-5902.lvn.broadcom.net
3,178,NetOps,wnpvbctgc04
0,188,APMDatadog,sjs-ll2-lab103-d25-csg-sw10
7,177,Spectrum,lc-lvn-1307.lvn.broadcom.net
0,92,APMDatadog,ren-wan-sr1.nw-am.broadcom.net_Te0/1/6
0,151,APMDatadog,wnpvisscmbedb3
6,186,APM,wpdvepiap01
